"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SetlistsController.cs:110:100:110:106""]].","/src/SetlistStudio.Infrastructure/Services/SetlistService.cs","145","17","145","29"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SetlistsController.cs:110:100:110:106""]].","/src/SetlistStudio.Infrastructure/Services/SetlistService.cs","136","29","136","41"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SongsController.cs:73:78:73:84""]].","/src/SetlistStudio.Infrastructure/Services/SongService.cs","152","17","152","30"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SongsController.cs:73:78:73:84""]].","/src/SetlistStudio.Infrastructure/Services/SongService.cs","152","33","152","47"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SongsController.cs:73:78:73:84""]].","/src/SetlistStudio.Infrastructure/Services/SongService.cs","133","26","133","39"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SongsController.cs:73:78:73:84""]].","/src/SetlistStudio.Infrastructure/Services/SongService.cs","133","42","133","56"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SetlistsController.cs:68:38:68:42""]].","/src/SetlistStudio.Web/Controllers/SetlistsController.cs","78","99","78","112"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SetlistsController.cs:68:38:68:42""]].","/src/SetlistStudio.Web/Controllers/SetlistsController.cs","85","128","85","147"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SetlistsController.cs:110:100:110:106""]].","/src/SetlistStudio.Web/Controllers/SetlistsController.cs","129","83","129","95"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Middleware/SecurityEventMiddleware.cs:376:28:376:50""]].
This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Middleware/SecurityEventMiddleware.cs:382:22:382:44""]].","/src/SetlistStudio.Web/Security/SecurityEventHandler.cs","185","17","185","64"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Middleware/SecurityEventMiddleware.cs:187:30:187:60""]].","/src/SetlistStudio.Web/Security/SecurityEventHandler.cs","236","17","236","64"
"User-controlled bypass of sensitive method","User-controlled bypassing of sensitive methods may allow attackers to avoid passing through authentication systems.","error","This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Middleware/SecurityEventMiddleware.cs:187:30:187:60""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Middleware/SecurityEventMiddleware.cs:199:84:199:103""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Middleware/SecurityEventMiddleware.cs:200:86:200:107""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Middleware/SecurityEventMiddleware.cs:219:84:219:103""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Middleware/SecurityEventMiddleware.cs:220:86:220:107""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Middleware/SecurityEventMiddleware.cs:304:21:304:42""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Middleware/SecurityEventMiddleware.cs:376:28:376:50""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Middleware/SecurityEventMiddleware.cs:382:22:382:44""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Security/SecurityEventHandler.cs:165:31:165:50""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Security/SecurityEventHandler.cs:172:69:172:90""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Security/SecurityEventHandler.cs:272:28:272:50""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Security/SecurityEventHandler.cs:282:22:282:44""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SetlistsController.cs:68:38:68:42""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SetlistsController.cs:110:100:110:106""]] controls it.
This condition guards a sensitive [[""action""|""relative:///src/SetlistStudio.Core/Security/SecureLoggingHelper.cs:105:21:105:50""]], but a [[""user-provided value""|""relative:///src/SetlistStudio.Web/Controllers/SongsController.cs:73:78:73:84""]] controls it.","/src/SetlistStudio.Core/Security/SecureLoggingHelper.cs","58","13","58","27"
